Poll,Date,year,Sample,MoE,Clinton (D),Trump (R),Spread
IBD/TIPP Tracking,10/22 - 10/27,2016,973 LV,3.3,45,42,Clinton +3
LA Times/USC Tracking,10/21 - 10/27,2016,3238 LV,4.5,44,46,Drumpf +2
ABC News Tracking,10/23 - 10/26,2016,1109 LV,3,50,45,Clinton +5
Economist/YouGov,10/22 - 10/26,2016,1209 LV,3.3,49,46,Clinton +3
FOX News,10/22 - 10/25,2016,1221 LV,2.5,49,44,Clinton +5
IBD/TIPP Tracking,10/21 - 10/26,2016,945 LV,3.3,44,42,Clinton +2
LA Times/USC Tracking,10/20 - 10/26,2016,3208 LV,4.5,45,45,Tie
ABC News Tracking,10/21 - 10/24,2016,1119 LV,3,51,43,Clinton +8
Pew Research,10/20 - 10/25,2016,2120 RV,2.4,50,43,Clinton +7
CNBC,10/21 - 10/24,2016,LV,--,47,37,Clinton +10
Reuters/Ipsos,10/20 - 10/24,2016,1170 LV,3.3,43,37,Clinton +6
USA Today/Suffolk,10/20 - 10/24,2016,1000 LV,3,49,39,Clinton +10
IBD/TIPP Tracking,10/20 - 10/25,2016,921 LV,3.3,43,41,Clinton +2
LA Times/USC Tracking,10/19 - 10/25,2016,3145 LV,4.5,44,45,Drumpf +1
Associated Press-GfK,10/20 - 10/24,2016,1212 LV,--,54,41,Clinton +13
ABC News Tracking,10/20 - 10/23,2016,611 LV,4.5,53,41,Clinton +12
Gravis,10/20 - 10/23,2016,2109 RV,2.1,50,50,Tie
CNN/ORC,10/20 - 10/23,2016,779 LV,3.5,51,45,Clinton +6
NBC News/SM,10/17 - 10/23,2016,32255 LV,1,50,44,Clinton +6
Quinnipiac,10/17 - 10/18,2016,1007 LV,3.1,50,44,Clinton +6
Economist/YouGov,10/15 - 10/18,2016,925 RV,3.9,47,43,Clinton +4
FOX News,10/15 - 10/17,2016,912 LV,3,49,42,Clinton +7
Bloomberg,10/14 - 10/17,2016,1006 LV,3.1,50,41,Clinton +9
Reuters/Ipsos,10/13 - 10/17,2016,1190 LV,3.3,43,39,Clinton +4
Monmouth,10/14 - 10/16,2016,726 LV,3.6,53,41,Clinton +12
CBS News,10/12 - 10/16,2016,1189 LV,3,51,40,Clinton +11
NBC News/SM,10/10 - 10/16,2016,24804 LV,1,51,43,Clinton +8
ABC News/Wash Post,10/10 - 10/13,2016,740 LV,4,50,46,Clinton +4
NBC News/Wall St. Jrnl,10/10 - 10/13,2016,905 LV,3.3,51,41,Clinton +10
LA Times/USC Tracking,10/9 - 10/15,2016,2946 LV,4.5,44,45,Drumpf +1
FOX News,10/10 - 10/12,2016,917 LV,3,49,41,Clinton +8
NBC News/Wall St. Jrnl,10/8 - 10/10,2016,806 LV,3.5,50,40,Clinton +10
Reuters/Ipsos,10/6 - 10/10,2016,2363 LV,2.2,44,37,Clinton +7
NBC News/Wall St. Jrnl,10/8 - 10/9,2016,447 LV,4.6,52,38,Clinton +14
Economist/YouGov,10/7 - 10/8,2016,971 RV,4.2,48,43,Clinton +5
The Atlantic,10/5 - 10/9,2016,886 LV,3.9,49,38,Clinton +11
LA Times/USC Tracking,10/4 - 10/10,2016,2969 LV,4.5,43,45,Drumpf +2
NBC News/SM,10/3 - 10/9,2016,23329 LV,1,51,44,Clinton +7
Quinnipiac,10/5 - 10/6,2016,1064 LV,3,50,44,Clinton +6
FOX News,10/3 - 10/6,2016,896 LV,3,48,44,Clinton +4
Economist/YouGov,10/1 - 10/3,2016,911 RV,3.9,48,43,Clinton +5
Reuters/Ipsos,9/29 - 10/3,2016,1239 LV,3.2,44,37,Clinton +7
The Atlantic/PRRI,9/28 - 10/2,2016,609 LV,--,47,41,Clinton +6
CBS News,9/28 - 10/2,2016,1217 LV,4,49,43,Clinton +6
CNN/ORC,9/28 - 10/2,2016,1213 LV,3,51,45,Clinton +6
LA Times/USC Tracking,9/27 - 10/3,2016,2275 LV,4.5,43,47,Drumpf +4
FOX News,9/27 - 9/29,2016,911 LV,3,49,44,Clinton +5
NBC News/SM,9/26 - 10/2,2016,26925 LV,1,50,44,Clinton +6
PPP (D),9/27 - 9/28,2016,933 LV,3.2,49,45,Clinton +4
Gravis,9/27 - 9/27,2016,3386 RV,1.7,50,50,Tie
Reuters/Ipsos,9/22 - 9/26,2016,1041 LV,3.5,44,38,Clinton +6
Quinnipiac,9/22 - 9/25,2016,1115 LV,2.9,47,46,Clinton +1
